#Chinese	#English
三界二十八天; a. 欲界六天 1. 四天王天 2. 忉利天 3. 夜摩天 4. 兜率天 5. 化樂天 6. 他化自在天 b. 色界十八天 1. 梵眾天 2. 梵輔天 3. 大梵天 4.少光天 5. 無量光天 6. 光音天 7. 少淨天 8. 無量淨天 9. 遍淨天 10. 福生天 11. 福愛天 12. 廣果天 13. 無想天 14. 無煩天 15. 無熱天 16. 善見天 17. 善現天 18. 色究竟天 c.無色界四天 1. 空無邊處天 2. 識無邊處天 3. 無所有處天 4. 非想非非想處天	Heaven: a. Six Heavens of the Desire Realm: 1. Caturmaharajika Heaven (the heaven of the four kings); 2. Trayastrimsa Heaven (the heaven of the thirty-three gods); 3. Yama Heaven (the heaven of timely restraint); 4. Tusita Heaven (the heaven of contentedness); 5. Nirmanarati Heaven (the heaven of joyful creation; 6. Paranirmita-vasavartin Heaven (the heaven of robbing others' pleasure); b. Eighteen Heavens of the Form Realm: 1. Brahma-parisadya Heaven (the heaven of the followers of Brahma); 2. Brahma-purohita Heaven (the heaven of the ministers of Brahma); 3. Mahabrahma Heaven (the heaven of the great Brahma); 4. Parittabha Heaven (the heaven of limited radiance); 5. Apramanabha Heaven (the heaven of infinite radiance); 6. Abhasvara Heaven (the heaven of radiant sound); 7. Parittasubha Heaven (the heaven of limited purity); 8. Apramanasubha Heaven (the heaven of infinite purity); 9. Subhakrtsna Heaven (the heaven of pervasive purity); 10. Punyaprasava Heaven (the heaven produced by virtue); 11. Anabhraka Heaven (the heaven of lovers of virtue); 12. Brhatphala Heaven (the heaven of bountiful fruits); 13. Asamjnisattvah Heaven (the heaven without thought); 14. Avrha Heaven (the heaven without affliction); 15. Atapa Heaven (the heaven without heat); 16. Sudarsana Heaven (the heaven of skillful vision); 17. Sudrsa Heaven (the heaven of skillful manifestation); 18. Akanistha Heaven (the supreme heaven of the form realm); c. Four Heavens of the Formless Realm: 1. Akasanantyayatana Heaven (the heaven of limitless space); 2. Vijnananantyayatana Heaven (the heaven of limitless consciousness); 3. Ākiñcaññāyatana Heaven (the heaven of nothingness); 4. Naiva-samjnanasamjnayatana Heaven (the heaven of neither thought nor non-thought)
三界似火宅，娑婆如苦海	The Three Realms are like a burning house; the Saha World is like an ocean of suffering
三界唯心，萬法唯識	the three realms are only in the mind; the myriad dharmas are only in the consciousness
三界外	outside the three dharma realms
三皈五戒甘露灌頂典禮	Triple Gem Refuge Ceremony And Five Precepts Ceremony
三皈依	Three Refuges
三皈依	to take refuge in the Triple Gem
三福行	Practice the Three Merits
三禮	Three Rites
三藏; 1. 經藏 2. 律藏 3. 論藏	Tripitaka: 1. Collection of Discourses; 2. Collection of Monastic Rules; 3. Collection of Treatises
