#Chinese	#English
一時與長久 歲月是流轉的 文化是千秋的 花開是時節的 青山是常在的 勸導是有限的 守戒是不變的 感受是短暫的 相處是長遠的 傷痛是當下的 歡喜是持久的 委屈是暫時的 真相是恆常的 功名是一時的 生命是一世的 生死是瞬間的 願力是無窮的 妄念是剎那的 佛性是不滅的 因緣是變化的 悟道是永恆的	Momentary vs Everlasting Age is fleeting, but culture is timeless. Flowers are seasonal, but mountains are abiding. Counseling is limited, but discipline is sustainable. Feelings are momentary, but relationships are for life. Pain is transient, but joy is perpetual. Misunderstanding is temporary, but Truth is eternal. Fame and gain are short-lived, but life is everlasting. Birth and death are ephemeral, but vows are abiding. Delusion is swift, but Buddha-nature is imperishable. Causes and conditions are changing, but enlightenment is forever.
一朝被蛇咬，十年怕井繩	once bitten, twice shy
一朝風月 萬里晴空	A Moment's Moon and Wind Across an Everlasting Cloudless Sky
一期	one moment of time
一水貫通五湖四海 一月普照萬國九州 一雨滋潤山川草木 一雷覺醒大地群迷 一理貫通千差萬別 一言決斷古今猶豫 一心廣含十方虛空 一念慈悲眾生受益	One water flows through all rivers and seas. One moon shines on all kingdoms and continents. One rain nourishes a mountain's rivers, grass, and trees. One thunder awakens the confused minds of the whole land. One principle mastered makes all the difference. One final call puts an end to all doubts. One all-embracing mind: the vast emptiness. One thought of compassion benefits all beings.
一流	of the same flow
一燈照破心中暗 雙手能做慈悲人	One single light can dispel the mind's darkness; Your hands suffice to show the compassion in you.
一真法界	The Dharma Realm of One Truth
一碗慈心粥	"勝飲人參湯; 一杯清和茶,勝喝瓊玉漿; 一口菜根香,勝嚼酒肉飯; 一念思無邪,勝辦滿漢席"",""A bowl of compassion porridge is better than drinking precious ginseng soup, A cup of calming tea is better than drinking a fabulous elixir, A mouthful of humble fare is better than dining on meat and wine. One thought free of unwholesomeness is better than arranging a sumptuous feast."
一筆勾	cross out with one stroke
一粒米中藏世界 半邊鍋裏煮乾坤	An entire world is hidden inside a grain of rice; Endless wonders are stirred inside a wok.
一絲不掛	not attached to a single thread
一缽千家飯 孤僧萬里遊	From a thousand households I eat with an alms bowl; Ten thousand miles I travel as a lone monk.
