#Chinese	#English_df1	#English_df2
自在人生	A Carefree Life	A Life at Ease
自覺	self-awareness	
與人為善	Be Kind to Others	
與時俱進	Keep up with the Times	
萬家生佛	Buddha Is in All Families	
萬德莊嚴	Boundless Virtues and Solemnity	
薰習	influence	
行雲流水	Be Like Floating Clouds and Flowing Water	
觀心自在	Remain Carefree by Observing the Mind	
身心自在	Be Carefree in Body and Mind	
造口業	to commit verbal karma	
道在心中	The Path Is in the Mind	
道由心生	The Path Is Found Within the Mind	
遷單	to expel	
醍醐	clarified butter	
量大福大	The Greater the Mind the Greater the Fortune	
金光明心	Mind of Golden Light	
金玉滿堂	A House Full of Gold and Jade	
金玉滿堂	A House Filled with Treasures of Gold and Jade	
開光	inauguration	
開悟	to awaken	
降伏	to subdue	
隨喜	to rejoice [in the welfare of others]	
雲水	cloud and water	
靈感	inspiration	
靜心	Tranquil Mind	
靜慮	Quiet Contemplation	
頭陀	austerities	
養德	Foster Virtue	
饒益有情	to benefit sentient beings	
饒舌		Superfluous Talk
首座	chief	
香水海	Ocean of Fragrant Water	
香水海	Ocean of Fragrant Water	
香積廚	Kitchen of Fragrance	
香積廚	Kitchen of Accumulated Fragrance	
龍象	dragon and elephant	
菩提心	bodhi mind	
雲水天下	Travel Like the Clouds and Water	
雲水天下	Travel Like the Clouds and Water	
安身立命	settle down and get on with one's pursuit	
